楼盘名字,平米均价
北京岭秀,16000
运河铭著,49000
珠江四季悦城,21000
万年广阳郡九号,50000
东亚尚院,30000
首开璞瑅公馆,106000
御汤山熙园,40000
天恒半山世家,50000
天资华府,38000
中国铁建花语金郡,70000
水墨林溪,22400
幸福街区N次方,45000
北科建泰禾丽春湖院子,51000
香江别墅,39300
绿地海珀云翡,65000
都丽华府,29000
中粮京西祥云,58000
水岸壹号,48000
尊悦日坛,63000
天恒摩墅,23000
鲁能·格拉斯小镇,62000
兴创荣墅,25000
丽都壹号,95000
韩建·观山源墅,40000
北辰墅院1900,36000
润泽御府,120000
炫立方,30000
兴创国际中心,38000
达美中心广场,48000
燕西华府,52000
阳光城檀悦,56800
尚峯壹號·峯境,36000
福景苑,83000
合景寰汇公馆,42000
K2十里春风,28000
玺萌壹號院,90000
远洋新天地,25000
北京书院,145000
旭辉26号街区,27000
棠颂璟庐,75000
金隅上城郡,45000
万科弗农小镇,25000
顺鑫颐和天璟,33000
誉天下盛寓,58000
未来公元,61183
奥园雲水院,22000
北京金茂府,130000
长安天街,28000
复地运河公馆,43000
新光大中心,52000
珠光御景西园,40000
北京城建北京合院,45000
月亮河七星公馆,68000
元熙华府,87000
观唐云鼎,30000
硅谷SOHO,20000
优山美地D区,70000
旭辉城,28500
檀香府,43000
泰禾金府大院,75000
金樾和著,29000
尊悦光华,150000
新潮嘉园二期,58000
中海云筑,28000
首创·河著,41000
金融街金悦府,55016
住总正华·时代广场,55000
京西悦府,40000
中粮天恒天悦壹号,80000
龙湾别墅,70000
海晏春秋,52449
京投发展·锦悦府,25000
远洋五里春秋,54625
公园十七区,42000
金地·大湖风华,35000
金辰府,55000
龙湖熙湖悦著,37000
华萃西山,48000
保利和光逸境,89000
北京东湾,68500
天恒世界集,60000
富兴首府,85000
中铁诺德阅墅,55000
中铁华侨城和园,50000
懋源·璟岳,140000
山屿西山著,53000
碧桂园·京源著,24000
城市之光·东望,51000
合景泰富天汇,33000
水岸雁栖,36800
懋源·璟玺,86000
万科雲庐,39000
北京城建宽院国誉府,31000
中海寰宇时代,57694
艾迪公园,23000
禹洲朗廷湾,52508
金茂北京国际社区,31000
住总如院,22728
北京城建·樾府,32600
东方蓝海中心,60000
郎府书苑,28000
建邦·顺颐府,55583
和悦春风,38000
阳光城溪山悦,25000
北京城建·府前龙樾,43500
金禧璞瑅,36000
熙悦天寰,60000
中骏云景台,28000
禧瑞金海,22000
中国铁建澜廷墅,28000
电建·洺悦湾,60186
北科建·翡翠华府,36800
保利绿城·和锦诚园,65000
金悦郡,45000
北京庄园,115000
路劲·御合院,29000
熙红印,64400
鑫苑·盛世天玺,60000
中海甲叁號院,125000
熙悦宸著,64400
海淀幸福里,83000
复地通运府,44000
颐璟中心,25800
北京壹号总部,28000
住总兴创如遇,28000
奥森ONE,58858
悠唐麒麟公馆,120000
中海寰宇视界,58000
合生·缦云,130000
国祥府,28000
金隅汇景苑,65000
金隅汇星苑,60000
首开熙悦观湖,36000
天樾书院,43000
东叁金茂府,107500
国风金海,22000
花语巷,60000
华樾国际,71000
丽都悦府,110000
鲁能钓鱼台美高梅公馆,200000
北京天誉,120000
航城壹号,33000
鸿瑞西峰·溪悦府,43000
中建·京西印玥,43000
长城璞院,20000
迈宇平墅,35000
盈科中心·景苑,140000
尚峯壹號,36000
玖瀛府,48000
国誉万和城,82000
首创澜茵山,28000
中南湾,54000
天润香墅湾1号,31000
京贸国际公馆,64000
天润福熙大道,120000
凯德麓语,35000
京贸国际城·峰景,68000
紫辰院,128000
